experiment_ID;timestamp;Person_pose_x;Person_pose_y;object_pose_x;object_pose_y;person_target_x;person_target_y;robot_pose_x;robot_pose_y;Collision_Edge;Node_Avoid;avoid_target_x;avoid_target_y
0;1710156187633;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940637;2.276113;0;0;0.000000;0.000000
0;1710156187678;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940636;2.276113;0;0;0.000000;0.000000
0;1710156187720;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940636;2.276113;0;0;0.000000;0.000000
0;1710156187753;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940636;2.276113;0;0;0.000000;0.000000
0;1710156187797;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276113;0;0;0.000000;0.000000
0;1710156187860;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276113;0;0;0.000000;0.000000
0;1710156187892;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
0;1710156187918;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
0;1710156187943;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
0;1710156187965;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
0;1710156187987;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
0;1710156188008;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
0;1710156188027;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
0;1710156188047;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
0;1710156188076;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
0;1710156188100;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
0;1710156188118;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
0;1710156188141;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
0;1710156188160;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
0;1710156188186;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
0;1710156188205;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
0;1710156188220;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
0;1710156188239;3.070070;1.518283;0.717979;0.290694;-3.203910;-1.527950;-2.940635;2.276112;0;0;0.000000;0.000000
